cnpj;inscricaoestadual;responsavel;email;endereco;telefonefixo;observacao;nome;convenio;empresafora
32.319.077/0001-15;;;;;;;ADILSON ROCHA DA SILVA EIRELI;false;nao
30.877.366/0001-04;;;;;;;ADMINISTRADORA DE CARTAO DE DESCONTO PALMAS LTDA;false;nao
86.862.208/0001-35;;;;;;;ADMINISTRADORA GERAL DE ESTACIONAMENTOS S.A.;false;nao
39.255.361/0001-14;;;;;;;ADOROBASIC LTDA;false;nao
37.683.821/0001-80;;;;;;;ADRIANA BATISTA ALENCAR LTDA;false;nao
39.246.959/0001-47;;;;;;;AE SOLUCOES E SERVICOS DE ENGENHARIA LTDA;false;nao
09.499.908/0001-66;;;;;;;AFS INFRAESTRUTURA E CONSTRUCOES LTDA;false;nao
29.421.150/0001-50;;;;;;;AFS PARTICIPACOES E NEGOCIOS EIRELI;false;nao
22.130.747/0001-05;;;;;;;AGBITECH CONTROLES BIOLOGICOS LTDA;false;nao
36.272.242/0001-81;;;;;;;AGENOR ALEXANDRE DA SILVA E CIA LTDA;false;nao
33.944.486/0001-75;;;;;;;AGROPECUARIA NOVA FRONTEIRA;false;nao
40.561.927/0001-15;;;;;;;AGROPECUARIA OVO BOM LTDA;false;nao
26.516.084/0001-04;;;;;;;AGROSERVICE COMERCIO DE EQUIPAMENTOS - EIRELI;false;nao
23.296.482/0002-55;;;;;;;AGROVETERINARIA TOCANTINS;false;nao
38.041.675/0001-51;;;;;;;AION ENERGIA LTDA;false;nao
34.369.499/0001-20;;;;;;;AL INSTALACOES ELETRICA E HIDRAULICA EM GERAL;false;nao
11.674.473/0001-90;;;;;;;ALADIR BARBOSA MURTA;false;nao
33.093.506/0001-41;;;;;;;ALDICLEIA CARVALHO MANZAN;false;nao
43.022.205/0001-80;;;;;;;ALECRIM COZINHA INTELIGENTE LTDA;false;nao
09.656.229/0001-53;;;;;;;ALENCAR & MARIN LTDA;false;nao
17.667.303/0001-65;;;;;;;ALEX HENNEMANN SOCIEDADE INDIVIDUAL DE ADVOCACIA;false;nao
33.785.714/0001-01;;;;;;;ALFA SERVICOS E PROMOCAO DE VENDAS EIRELI;false;nao
27.052.688/0001-00;;;;;;;ALFA VEICULOS LTDA;false;nao
02.405.000/0001-05;;;;;;;ALGO MAIS MATERIAIS DE CONSTRUCAO  LTDA - ME;false;nao
29.694.408/0001-92;;;;;;;ALIANCA INTERMEDIACAO DE NEGOCIOS EMPRESARIAL EIRELI;false;nao
27.267.334/0001-82;;;;;;;ALIANCA PRIME LTDA;false;nao
18.785.143/0001-11;;;;;;;ALINA ROCHA PEREIRA;false;nao
48.344.725/0007-19;;;;;;;ALTHAIA S.A. INDUSTRIA FARMACEUTICA;false;nao
22.860.509/0001-47;;;;;;;ALVES & BARROS LTDA;false;nao
33.611.424/0001-41;;;;;;;ALVES & TONIAZZO LTDA;false;nao
34.855.346/0001-93;;;;;;;ALVES SOUZA CONSTRUTORA CONCRETAR LTDA;false;nao
31.492.687/0001-53;;;;;;;AM COMERCIO DE CHOPP EIRELI;false;nao
23.516.742/0001-70;;;;;;;AMADEU RAQUEL CARDOSO 37756206134;false;nao
04.558.234/0001-00;;;;;;;AMAZON CONSTRUCOES E SERVICOS EIRELI;false;nao
33.309.501/0001-03;;;;;;;AMBIENTE-PROJETOS E CONSTRUCOES LTDA-ME;false;nao
23.710.201/0001-88;;;;;;;AMBITO ENGENHARIA LTDA;false;nao
04.539.125/0006-50;;;;;;;AMERICOM COMERCIO DE APARELHOS ELETRONICOS LTDA;false;nao
10.953.298/0001-08;;;;;;;ANA A S FERREIRA - COMERCIO;false;nao
24.557.851/0001-06;;;;;;;ANA PAULA CIRCUNCISAO NUNES 98669656191;false;nao
26.781.147/0001-50;;;;;;;ANA PAULA LUSTOSA LOIOLA DOS SANTOS 01411419308;false;nao
CPF 096.422.566.22;;;;;;;ANALICE SILVA SA MARTINS;false;nao
11.575.352/0001-91;;;;;;;ANALOGICA SISTEMA DE RECEPCAO E SEGURANCA LTDA;false;nao
22.954.992/0001-29;;;;;;;ANALU VENDA E REPRESENTACOES COMERCIAIS EIRELI;false;nao
34.409.388/0001-09;;;;;;;ANDRICK LIMA CARVALHO;false;nao
31.998.728/0001-88;;;;;;;ANGELICA PINHEIRO DOS REIS;false;nao
08.530.308/0001-50;;;;;;;ANJOS & CANTANHEDE LTDA;false;nao
16.703.077/0002-49;;;;;;;ANNA PAULA P G PORTILHO - ME;false;nao
27.095.096/0001-75;;;;;;;ANSELMO DA SILVA MORAES EMPORIO LTDA - ME;false;nao
26.444.428/0001-17;;;;;;;AR CALDAS NOVAS CERTIFICACAO DIGITAL EIRELI;false;nao
24.746.502/0001-24;;;;;;;ARAUJO ADVOGADOS - SOCIEDADE INDIVIDUAL DE ADVOCACIA;false;nao
26.427.935/0001-42;;;;;;;ARENA SOCCER LTDA;false;nao
17.106.017/0001-20;;;;;;;ARMAZEM COM. DE BEBIDAS FC LTDA;false;nao
11.125.222/0001-57;;;;;;;ARTA FENIX 13 REPRESENTACOES LTDA EPP;false;nao
32.215.308/0001-40;;;;;;;ARTE CENTER;false;nao
07.611.516/0001-11;;;;;;;ARTE FARMA COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS LTDA;false;nao
05.502.450/0002-87;;;;;;;ARTSEG SEGURANCA E VIGILANCIA LTDA;false;nao
02.377.285/0001-00;;;;;;;ASS.DOS DISTRIB. E ATACADISTAS DO ESTADO DO TOCANTINS;false;nao
23.506.417/0001-26;;;;;;;ASSOCIACAO DE REGISTRADORES DE PESSOAS NATURAIS DO TOCANTINS;false;nao
37.160.330/0001-54;;;;;;;ASSOCIACAO NACIONAL DOS SERVIDORES PUBLICOS, DA PREVIDENCIA E DA SEGURIDADE SOCIAL - ANASPS;false;nao
06.099.229/0184-00;;;;;;;ASSUPERO ENSINO SUPERIOR LTDA.;false;nao
35.365.879/0001-50;;;;;;;ATHENA LOCACAO DE ARTIGOS DO VESTUARIO LTDA;false;nao
12.998.507/0001-65;;;;;;;AVAL CONTABILIDADE LTDA;false;nao
31.950.627/0001-37;;;;;;;AVANTETECH SISTEMAS E SOLUCOES DIGITAIS LTDA;false;nao
18.325.055/0001-37;;;;;;;AVEVERDE SOLUCOES AMBIENTAIS LTDA;false;nao
27.152.340/0001-90;;;;;;;AVILA & AVILA REPRESENTACOES COMERCIAIS DE PRODUTOS ALIMENTICIOS LTDA-ME;false;nao
28.008.859/0001-66;;;;;;;B. F. CABRAL ODONTOLOGIA EIRELI;false;nao
15.705.279/0001-86;;;;;;;BABACU EMPREENDIMENTOS;false;nao
37.715.631/0001-05;;;;;;;BARATAO DA MODA;false;nao
37.852.566/0001-51;;;;;;;BARUCK RESTAURANTE EIRELI;false;nao
07.822.081/0012-07;;;;;;;BATISTA & NAVES LTDA;false;nao
36.624.226/0001-00;;;;;;;BEGE - DEPILACAO E ESTETICA LTDA;false;nao
11.140.283/0001-93;;;;;;;BEGIN ASSESSORIA E CONSULTORIA ADMINISTRATIVA E DESENVOLVIMENTO DE SOFTWARE LTDA;false;nao
23.436.294/0001-02;;;;;;;BEGIN CONSULTORIA EM GESTAO E TECNOLOGIA EIRELI;false;nao
06.290.420/0001-36;;;;;;;BEIJA FLOR COM. VAREJ. DE CALCADOS LTDA;false;nao
43.181.087/0001-53;;;;;;;BELEZA KIDS;false;nao
30.620.917/0001-50;;;;;;;BENEDITO ALVES DE ALMEIDA 25477439300;false;nao
23.913.579/0001-89;;;;;;;BENTO E OLIVEIRA LTDA;false;nao
13.583.875/0001-05;;;;;;;BG2 EMPREENDIMENTOS;false;nao
12.598.899/0001-75;;;;;;;BIG MERCHANDISING SERVICOS DE PROMOCOES EIRELI;false;nao
36.176.911/0001-11;;;;;;;BIOIDEAL ES INDUSTRIA E COMERCIO DE PRODUTOS NATURAIS LTDA;false;nao
25.266.246/0001-30;;;;;;;BLP SERVICOS DE APOIO ADMINISTRATIVO LTDA;false;nao
23.941.500/0001-23;;;;;;;BM SERVICOS DE APOIO ADMINISTRATIVO LTDA;false;nao
42.996.382/0001-03;;;;;;;BOBS DRIVE LTDA;false;nao
11.732.840/0001-65;;;;;;;BOX 1000 COMERCIO DE LUBRIFICANTES LTDA - ME;false;nao
04.475.860/0001-32;;;;;;;BR ELETRON TOCANTINS COMERCIAL LTDA;false;nao
06.323.985/0001-72;;;;;;;BR RURAL - COMERCIO DE PRODUTOS AGROPECUARIOS LTDA;false;nao
37.056.132/0001-45;;;;;;;BRASSOL BRASILIA ALIMENTOS E SORVETES LTDA;false;nao
16.869.239/0001-32;;;;;;;BRIGADA ANJOS DA VIDA;false;nao
12.712.866/0001-04;;;;;;;BRIMA SERVICOS DE COBRANCA LTDA - ME;false;nao
34.620.483/0001-49;;;;;;;BRITO, BRITO, CAMARCO, FLOR E GODINHO LTDA;false;nao
23.647.337/0001-90;;;;;;;BRUNA CASTRO CORREA 02787243100;false;nao
34.541.752/0001-81;;;;;;;BRUNO ANTONIO WELTER EIRELI;false;nao
27.716.871/0001-62;;;;;;;C DIAS MOTA ADRIANO;false;nao
28.444.169/0001-50;;;;;;;C E SILVA MONTEIRO CAVALCANTE EIRELI;false;nao
33.797.029/0001-03;;;;;;;C. L. DE OLIVEIRA;false;nao
10.751.589/0001-13;;;;;;;CABELO & COMPANHIA COSMETICOS LTDA;false;nao
35.688.174/0001-73;;;;;;;CABRAL E GARCIA LTDA;false;nao
18.344.690/0001-61;;;;;;;CAMBRAIA COMERCIO DE PRODUTOS DE LIMPEZA EIRELI;false;nao
32.629.895/0001-14;;;;;;;CAMILA KELLEN GABAS BATISTA 39417412841;false;nao
12.335.752/0001-92;;;;;;;CANBRAS CONSTRUTORA E INCORPORADORA EIRELI;false;nao
31.733.468/0001-19;;;;;;;CANEVARI IMOVEIS LTDA;false;nao
07.919.733/0001-73;;;;;;;CAPITAL MATERIAIS DE CONSTRUCOES E LOCACOES LTDA - EPP;false;nao
CPF:918.054.651-04;;;;;;;CARLA PATRICIA DIAS ROCHA;false;nao
19.981.890/0001-98;;;;;;;CARLOS GLAUGUISTONY SOARES MOURAO 75506670397;false;nao
32.356.513/0001-26;;;;;;;CARLOS HENRIQUE SILVA;false;nao
31.871.852/0001-88;;;;;;;CARLOS HENRIQUE SILVA & CIA LTDA;false;nao
37.482.687/0001-59;;;;;;;CARLOS ROBERTO PEREIRA DE SOUZA 71754350100;false;nao
25.086.700/0001-71;;;;;;;CARMINDO MARQUES DUARTE 06187075811;false;nao
04.094.217/0002-40;;;;;;;CARMO E FRANCO CARVALHO LTDA;false;nao
33.937.928/0001-56;;;;;;;CARNEIRO E MARANHAO LTDA;false;nao
04.338.054/0003-84;;;;;;;CARVALHO E MOURA COMERCIAL LTDA - EPP;false;nao
06.696.931/0001-52;;;;;;;CASA DAS ARMAS LTDA;false;nao
41.176.036/0001-08;;;;;;;CASTELO COMERCIO DE ESTOFADO E DECORACOES EIRELI;false;nao
39.364.446/0001-30;;;;;;;CASTRO & VECCHI ESTETICA LTDA;false;nao
79.201.539/0003-20;;;;;;;CAVALCA CONSTRUCOES E MINERACAO LTDA;false;nao
30.199.769/0001-41;;;;;;;CAVICHIO COMERCIO DE ARTIGOS VESTUARIOS E REPRESENTACAO COMERCIAL LTDA;false;nao
35.774.712/0001-42;;;;;;;CDC PALMAS COMERCIO DE EQUIPAMENTOS DE TELEFONIA EIRELI;false;nao
23.758.522/0001-52;;;;;;;CELSE;false;nao
30.253.605/0001-55;;;;;;;CENTER FORROS E DIVISORIAS EIRELI;false;nao
11.467.878/0001-58;;;;;;;CENTRAL DOS TRABALHADORES E TRABALHADORAS DO BRASIL-CTB-TO;false;nao
39.556.596/0001-46;;;;;;;CENTRAL MINIMERCADO LTDA;false;nao
36.990.588/0001-15;;;;;;;CENTRAL NORTE COMERCIO E SERVICOS DE APOIO ADMINISTRATIVO EIRELI;false;nao
19.796.438/0001-56;;;;;;;CENTRO AUTOMOTIVO FERRARI LTDA;false;nao
25.116.923/0001-34;;;;;;;CENTRO DE EDUCACAO E ENSINO DO TOCANTINS LTDA;false;nao
10.498.290/0001-07;;;;;;;CENTRO DE ENDOSCOPIA, COLONOSCOPIA E MOTILIDADE DIGESTIVA DE PALMAS EIRELI - ME;false;nao
33.633.805/0001-21;;;;;;;CENTRO EDUCACIONAL GR LTDA;false;nao
03.120.792/0001-26;;;;;;;CENTRO OESTE - COMERCIO, REPRESENTACAO E PRESTACAO DE SERVICOS EIRELI;false;nao
28.338.495/0001-82;;;;;;;CERVEJARIA BRUGGER LTDA;false;nao
01.203.327/0001-23;;;;;;;CESAR CENTRO DE ESTUDOS E SISTEMAS AVANCADOS DO RECIFE;false;nao
02.819.380/0001-16;;;;;;;CHAVES COMERCIO DE COSMETICOS LTDA;false;nao
06.556.008/0001-15;;;;;;;CHIP TECNOLOGIA;false;nao
00.744.706/0001-68;;;;;;;CIEB COMERCIO E INDUSTRIA ENGENHARIA BRASILEIRA LTDA;false;nao
18.986.800/0001-99;;;;;;;CINTIA RODRIGUES DE SOUZA SILVA - EIRELI;false;nao
03.244.722/0002-60;;;;;;;CLARION BIOCIENCIAS LTDA;false;nao
06.862.627/0358-61;;;;;;;CLAUDINO S A LOJAS DE DEPARTAMENTOS;false;nao
01.751.017/0001-43;;;;;;;CLEAR SERVICOS E PROMOCOES EIRELI;false;nao
30.851.731/0001-01;;;;;;;CLEIMES SOLUCAO CONTABIL LTDA;false;nao
34.532.083/0001-81;;;;;;;CLEIRIANE SOUSA FERREIRA 03977836129;false;nao
28.402.051/0001-69;;;;;;;CLESIENE CAVALCANTE DA SILVA 81019564172;false;nao
13.036.078/0001-08;;;;;;;CLINICA ARI BERTUOL;false;nao
37.094.655/0001-86;;;;;;;CLINICA MEDICA PELE VITTA LTDA;false;nao
00.878.400/0001-02;;;;;;;CLINICA VETERINARIA MISTER CAN;false;nao
32.625.053/0001-94;;;;;;;CLUBE DO ALICATE ESMALTERIA;false;nao
11.775.328/0022-20;;;;;;;CMR COMERCIO DE ELETRO ELETRONICOS LTDA;false;nao
36.596.893/0001-27;;;;;;;COLMEIA PRESTACAO DE SERVICOS ADMINISTRATIVOS LTDA;false;nao
07.775.994/0001-67;;;;;;;COMALT ENGENHARIA DE SISTEMAS DE ALTA TENSAO LTDA;false;nao
35.500.938/0001-55;;;;;;;COMERCIAL AGRESTE EIRELI;false;nao
10.630.161/0001-12;;;;;;;COMERCIAL DE MOVEIS MARINA LTDA;false;nao
20.328.731/0002-59;;;;;;;COMERCIAL DO VESTUARIO ITA EIRELI;false;nao
33.571.411/0001-96;;;;;;;COMERCIO DE CALCADOS ANSELMO DA SILVA MORAES LTDA;false;nao
40.065.774/0001-15;;;;;;;COMERCIO DE PRODUTOS ALIMENTICIOS NORTE E SUL EIRELI;false;nao
34.490.595/0001-22;;;;;;;COMERCIO DE ROUPAS EU TENHO E FE LTDA;false;nao
36.494.725/0001-20;;;;;;;COMERCIO VAREJISTA DE EMBARCACOES MARTINS LTDA;false;nao
01.615.998/0001-00;;;;;;;CONAGUA AMBIENTAL LTDA;false;nao
33.146.648/0001-20;;;;;;;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;false;nao
22.703.695/0001-00;;;;;;;CONDOMINIO DO EDIFICIO JK BUSINESS CENTER;false;nao
30.565.308/0001-45;;;;;;;CONDOMINIO PALMAS VERTICAL RESIDENCE NORTH II;false;nao
11.020.809/0001-00;;;;;;;CONDOMINIO PORTAL DO LAGO;false;nao
26.752.030/0001-48;;;;;;;CONDOMINIO SOLAR DO TOCANTINS;false;nao
34.892.009/0001-76;;;;;;;CONDONIMIO PALMEIRA IMPERIAL;false;nao
42.859.640/0001-00;;;;;;;CONED CONTABILIDADE E GESTAO;false;nao
37.497.024/0001-08;;;;;;;CONSTAFINANCE - CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA;false;nao
04.744.441/0001-59;;;;;;;CONSTRUBEL CONSTRUTORA DE OBRAS LTDA;false;nao
35.140.746/0001-85;;;;;;;CONSTRUTORA MARTINS COMERCIAL E SERVICOS - LIMITADA;false;nao
12.047.198/0001-48;;;;;;;CONSULTE ASSESSORIA EMPRESARIAL EIRELI;false;nao
88.969.167/0001-06;;;;;;;CONTROLE - ASSISTENCIA E SERVICOS S/S LTDA;false;nao
24.299.966/0001-30;;;;;;;CONTROLL CONTABILIDADE LTDA;false;nao
22.200.990/0001-44;;;;;;;CORPORELLE CLINICA DE ESTETICA LTDA;false;nao
22.335.573/0001-09;;;;;;;CORREA & SOUZA LTDA;false;nao
32.458.096/0001-22;;;;;;;CORREA E FERNANDES COMERCIO DE CALCADOS LTDA;false;nao
22.377.538/0001-52;;;;;;;CORRETA VIP CORRETORA DE SEGUROS EIRELI;false;nao
10.520.533/0001-58;;;;;;;COSTA, FONSECA E ADVOGADOS ASSOCIADOS S/S;false;nao
20.102.421/0001-30;;;;;;;COVIG VIGILANCIA E SEGURANCA LTDA;false;nao
06.914.689/0002-27;;;;;;;CRECHE ACONCHEGO LTDA;false;nao
35.456.464/0001-91;;;;;;;CRECHE CRESCER - BERCARIO EDUCACAO INFANTIL LTDA;false;nao
31.807.482/0001-10;;;;;;;CRED PALMAS CAIXA - CORRESPONDENTE CAIXA EIRELI;false;nao
05.003.408/0001-30;;;;;;;CRISTALFARMA COMERCIO REPRESENTACAO IMPORTACAO E EXPORTACAO LTDA;false;nao
04.220.656/0001-70;;;;;;;CRISTIANO TADEU DE CARVALHO & CIA LTDA;false;nao
27.595.780/0023-21;;;;;;;CS BRASIL FROTAS LTDA;false;nao
27.595.780/0001-16;;;;;;;CS BRASIL FROTAS LTDA;false;nao
23.650.664/0001-00;;;;;;;CUNHA E VIRGINIO LTDA - ME;false;nao
23.456.177/0001-00;;;;;;;CWE COMERCIO DE ROUPAS EIRELI;false;nao
43.892.779/0001-00;;;;;;;D & G JOIAS E ANEIS DE FORMATURA LTDA;false;nao
18.770.971/0001-86;;;;;;;D COMERCIO DE VARIEDADES EIRELI;false;nao
46.264.796/0001-90;;;;;;;D R COLETORA E COM. DE RESIDUOS LTDA;false;nao
32.085.093/0001-90;;;;;;;D.M.T COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS, SEM MANIPULACAO DE FORMULAS EIRELI;false;nao
36.133.200/0001-60;;;;;;;D.R.DE GALVAO;false;nao
12.457.522/0001-04;;;;;;;DALVANIR OLIVEIRA CANDIDO 91255155191;false;nao
19.647.599/0001-88;;;;;;;DANIEL HENRIQUE NASCIMENTO 02917697130;false;nao
35.730.997/0001-10;;;;;;;DANIELA DE OLIVEIRA WELTE LTDA;false;nao
28.266.390/0001-65;;;;;;;DANIELE THAIS DA SILVA AGUIAR;false;nao
35.550.646/0001-27;;;;;;;DANIELLA NEVES SANTOS ABRAO;false;nao
92.260.371/0001-20;;;;;;;DAUPER INDUSTRIA E COMERCIO DE BISCOITOS S/A;false;nao
12.433.420/0001-40;;;;;;;DB - MEDICINA DIAGNOSTICA LTDA.;false;nao
37.637.454/0001-88;;;;;;;DD TELECOM COMERCIO DE EQUIPAMENTO E SUPRIMENTOS DE INFORMATICA LTDA;false;nao
37.520.127/0001-41;;;;;;;DELTA SANTOS TOCANTINS REPRESENTACOES COMERCIAIS LTDA;false;nao
05.891.546/0001-01;;;;;;;DENCLA INDUSTRIA DE POLPAS - EIRELI;false;nao
19.865.577/0001-94;;;;;;;DENGO DENGO BABY COM VAR DE ARTIGOS DO VESTUARIO EIRELI;false;nao
18.117.134/0001-52;;;;;;;DENILSA PEREIRA DE MORAIS 81823690106;false;nao
26.723.766/0001-98;;;;;;;DENTEPREV;false;nao
07.695.300/0001-81;;;;;;;DESPORTIVO BRASIL PARTICIPACOES LTDA;false;nao
61.486.650/0842-63;;;;;;;DIAGNOSTICOS DA AMERICA S.A .;false;nao
34.459.872/0001-34;;;;;;;DIANA OLIVEIRA HONORATO 04383367127;false;nao
17.579.459/0001-94;;;;;;;DIEFRA ENGENHARIA E CONSULTORIA LTDA;false;nao
33.482.276/0001-02;;;;;;;DISALY ALIMENTOS LTDA;false;nao
13.201.511/0001-13;;;;;;;DISTRIBUIDORA AGUIA DE OURO LTDA;false;nao
36.123.566/0002-39;;;;;;;DIVERTIDA COMERCIO DE BRINQUEDOS EDUCATIVOS E RECURSOS PEDAGOGICOS EIRELI;false;nao
04.496.906/0001-08;;;;;;;DIX SERVICOS EMPRESARIAIS LTDA;false;nao
27.256.405/0001-41;;;;;;;DJALMA PEREIRA DE LACERDA 94922020187;false;nao
42.106.254/0001-39;;;;;;;DOCE BOM;false;nao
38.496.961/0001-01;;;;;;;DOM CERRADO PIZZARIA LTDA;false;nao
19.670.111/0001-33;;;;;;;DOM VERGILIO PIZZA EXPRESS LTDA;false;nao
26.085.588/0001-17;;;;;;;DROGA PALMAS LTDA;false;nao
29.550.110/0001-09;;;;;;;DROGA VILLE;false;nao
00.292.147/0001-00;;;;;;;DROGARIA SAUDE 21 LTDA - ME;false;nao
26.752.789/0001-20;;;;;;;DRUMOND - SOCIEDADE INDIVIDUAL DE ADVOCACIA;false;nao
17.677.780/0009-69;;;;;;;DUCOCO LITORAL S.A.;false;nao
36.118.557/0001-79;;;;;;;E. A. C. COSTA JUNIOR LTDA;false;nao
29.696.079/0001-19;;;;;;;E2KP SERVICOS DE APOIO ADMINISTRATIVO LTDA;false;nao
33.247.364/0001-20;;;;;;;EBS INSTALACAO E MANUTENCAO DE SISTEMAS CENTRAIS DE AR CONDICIONADO EIRELI;false;nao
30.517.362/0001-15;;;;;;;ECLESIASTES ALVES DOS SANTOS;false;nao
13.201.968/0001-28;;;;;;;EDIFICIO RESIDENCIAL ATHENAS;false;nao
21.872.796/0001-42;;;;;;;EDIRSON TEIXEIRA DA SILVA;false;nao
CPF:031.418.361-24;;;;;;;EDUARDO RODRIGUES PINTO;false;nao
33.157.062/0001-60;;;;;;;EDVANIA BEZERRA NASCIMENTO BONFIM 80977375153;false;nao
22.088.073/0001-10;;;;;;;ELIANA SILVA PIRES 26058928168;false;nao
24.740.930/0001-40;;;;;;;ELIANE ALVES DE SOUZA 88695948234;false;nao
15.649.636/0001-36;;;;;;;ELIMAR F. DA SILVA;false;nao
28.638.637/0001-27;;;;;;;ELITE MERCHANDESING PROMOCAO DE VENDAS EIRELI;false;nao
18.345.131/0003-38;;;;;;;ELLAINY SEPULVIDA & CIA LTDA;false;nao
11.638.097/0001-89;;;;;;;ELMA ROCHA CHAVES 61259276104;false;nao
26.470.239/0001-19;;;;;;;ELO FORTE AGRONEGOCIOS - EIRELI;false;nao
36.626.436/0001-38;;;;;;;EMILIO E ALVES ADVOCACIA ASSESSORIA E CONSULTORIA - SOCIEDADE DE ADVOGADOS;false;nao
18.178.980/0001-82;;;;;;;EMO TELECOMUNICACOES;false;nao
41.756.699/0002-82;;;;;;;EMPORIO COLCHAO;false;nao
31.819.953/0001-00;;;;;;;EMPORIO DA CARNE LOJA DE CONVENIENCIA E MINIMERCADO LTDA;false;nao
28.362.477/0001-36;;;;;;;EMPORIO DA CERVEJA EIRELI;false;nao
10.327.926/0001-40;;;;;;;EMPREENDIMENTOS D&D LTDA;false;nao
21.051.191/0001-90;;;;;;;ENDEMICA AMBIENTAL MONITORAMENTO DO MEIO BIOTICO EIRELI;false;nao
24.359.664/0001-00;;;;;;;ENG3PONTOS ENGENHARIA - EIRELI;false;nao
14.144.890/0002-09;;;;;;;ENGRE & CORS ENGRENAGENS E CORRENTES LTDA;false;nao
31.524.298/0001-62;;;;;;;ENIO FRANCISCO FONTINNI;false;nao
28.575.669/0001-20;;;;;;;ENKANTO JOIAS LTDA;false;nao
02.188.419/0001-44;;;;;;;EOS ORGANIZACAO E SISTEMAS LTDA;false;nao
30.610.126/0001-49;;;;;;;EPI NORTE - ENERGIA SOLAR E ELETROMOBILIDADE LTDA;false;nao
32.488.045/0001-43;;;;;;;EPOCA FRUTAS COMERCIO VAREJISTA DE MERCADORIAS EIRELI;false;nao
31.354.856/0001-99;;;;;;;ERIC SOUSA OLIVEIRA 06270753120;false;nao
27.467.435/0001-05;;;;;;;ERIKA CHRYSTINA LARANJEIRA CARVALHO;false;nao
34.716.732/0001-02;;;;;;;ERIVALDO FRANCISCO DE SOUSA 99596075187;false;nao
27.130.605/0002-34;;;;;;;ERON CELSO MACEDO BARBOSA;false;nao
30.180.944/0001-59;;;;;;;ES COMERCIO DE ELETRODOMESTICOS LTDA;false;nao
34.070.386/0001-20;;;;;;;ESCRITORIO DE SERVICOS ADMINISTRATIVOS ALDEIA DA SERRA LTDA;false;nao
29.848.013/0001-05;;;;;;;ESPACO ACQUA MAIS FIT ATIVIDADES ESPORTIVAS EIRELI;false;nao
27.175.030/0001-95;;;;;;;ESPETOS ROCHA LTDA;false;nao
15.148.867/0001-66;;;;;;;ESTILO IMOBILIARIA LTDA;false;nao
33.527.071/0001-04;;;;;;;ESTIMULOS CENTRO DE DESENVOLVIMENTO INFANTIL LTDA;false;nao
